fqdn,ip_addr,port,cloud_type,method,origin_url,url,vendor_name,prod_name,prod_version,prod_trigger,prod_type,prod_vuln,origin_login,origin_login_trigger,wrong_comment,error_msg,server_header,log,date
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/config/jar-scan-filter.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : Name""
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154334831.log,2024/06/22 15:43:34
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/config/jar-scan-filter.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : Name""
Url : -",-,""">org.a""",-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154334831.log,2024/06/22 15:43:34
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/config/jar-scan-filter.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : Name""
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154334831.log,2024/06/22 15:43:34
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/config/jar-scan-filter.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : Name""
Url : -",-,"""invalid/""",-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154334831.log,2024/06/22 15:43:34
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/security-howto.html#comments_section,-,-,-,-,-,-,"Log : - %
Url : 0.0 %","Log : -
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154336584.log,2024/06/22 15:43:36
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/security-howto.html#comments_section,apache,tomcat,8.5.19,Tomcat/8.5.19,Framework,Cannot search.,"Log : - %
Url : 0.0 %","Log : -
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154336584.log,2024/06/22 15:43:36
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/security-howto.html#Default_web_applications,-,-,-,-,-,-,"Log : - %
Url : 0.0 %","Log : -
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154336922.log,2024/06/22 15:43:36
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/security-howto.html#Default_web_applications,apache,tomcat,8.5.19,Tomcat/8.5.19,Framework,Cannot search.,"Log : - %
Url : 0.0 %","Log : -
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154336922.log,2024/06/22 15:43:36
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/changelog.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : uid
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154337268.log,2024/06/22 15:43:37
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/changelog.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : uid
Url : -",-,"""exception """,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154337268.log,2024/06/22 15:43:37
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/changelog.html,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : uid
Url : -",-,"""incorrect """,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154337268.log,2024/06/22 15:43:37
127.0.0.1,127.0.0.1,8080,Unknown,Crawling,http://127.0.0.1:8080/,http://127.0.0.1:8080/docs/changelog.html,-,-,-,-,-,-,"Log : - %
Url : 0.0 %","Log : -
Url : -",-,-,-,/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8080/http_127.0.0.1_8080_20240622154337268.log,2024/06/22 15:43:37
